w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
1.268,930.00170604,737.090372556,517.810373705,1207.95489159,765.538094517
1.27,929.453873144,736.605349696,517.376777391,1207.3028913,765.100321902
1.272,928.906334794,736.120730017,516.943558595,1206.6512039,764.662802415
1.274,928.359090991,735.636513519,516.510717319,1205.99982939,764.225536058
1.276,927.812141734,735.152700202,516.078253562,1205.34876777,763.788522829
1.278,927.265487024,734.669290066,515.646167325,1204.69801904,763.351762729
1.28,926.71912686,734.18628311,515.214458607,1204.0475832,762.915255758
1.282,926.173061242,733.703679336,514.783127408,1203.39746026,762.479001916
1.284,925.627290171,733.221478742,514.352173728,1202.74765021,762.043001203
1.286,925.081813647,732.739681329,513.921597568,1202.09815304,761.607253618
1.288,924.536631669,732.258287097,513.491398927,1201.44896877,761.171759162
1.29,923.991744237,731.777296046,513.061577805,1200.80009739,760.736517836
1.292,923.447151352,731.296708176,512.632134202,1200.1515389,760.301529638
1.294,922.902853013,730.816523487,512.203068119,1199.5032933,759.866794568
1.296,922.358849221,730.336741978,511.774379555,1198.85536059,759.432312628
1.298,921.815139976,729.857363651,511.346068511,1198.20774078,758.998083816
1.3,921.271725276,729.378388504,510.918134985,1197.56043385,758.564108134
1.302,920.728605124,728.899816538,510.490578979,1196.91343982,758.13038558
1.304,920.185779517,728.421647753,510.063400492,1196.26675867,757.696916155
1.306,919.643248458,727.943882149,509.636599525,1195.62039042,757.263699859
1.308,919.101011944,727.466519726,509.210176077,1194.97433506,756.830736691
1.31,918.559069977,726.989560483,508.784130148,1194.32859259,756.398026653
1.312,918.017422557,726.513004422,508.358461738,1193.68316301,755.965569743
1.314,917.476069683,726.036851541,507.933170848,1193.03804633,755.533365962
1.316,916.935011356,725.561101842,507.508257477,1192.39324253,755.10141531
1.318,916.394247575,725.085755323,507.083721625,1191.74875162,754.669717787
1.32,915.85377834,724.610811985,506.659563293,1191.10457361,754.238273392
1.322,915.313603652,724.136271828,506.23578248,1190.46070849,753.807082127
1.324,914.773723511,723.662134851,505.812379186,1189.81715626,753.37614399
1.326,914.234137916,723.188401056,505.389353411,1189.17391691,752.945458982
1.328,913.694846867,722.715070442,504.966705156,1188.53099047,752.515027103
1.33,913.155850365,722.242143008,504.54443442,1187.88837691,752.084848353
1.332,912.617148409,721.769618755,504.122541203,1187.24607624,751.654922731
1.334,912.078741,721.297497683,503.701025506,1186.60408846,751.225250239
1.336,911.540628137,720.825779792,503.279887328,1185.96241358,750.795830875
1.338,911.002809821,720.354465082,502.859126669,1185.32105158,750.36666464
1.34,910.465286051,719.883553553,502.438743529,1184.68000248,749.937751534
1.342,909.928056828,719.413045205,502.018737909,1184.03926627,749.509091557
1.344,909.391122151,718.942940037,501.599109808,1183.39884295,749.080684708
